territory,status,priority,suggested_scope,reason
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
India,resolved_pass220_active_spiders_built,medium,Targeted only: BookLal country-scope/localization resolution; Pustak Market live activity/account-flow proof; ResellPanda live inventory or official Play listing; Apnabook direct account/listing render; PustakMart open-vs-managed seller mechanics; Classic Pages seller/recommerce proof; Flying Books operator-vs-marketplace mechanics. No broad India reopen absent fresh strict-main evidence.,"Pass220 successfully resolved and built active spiders: usedbooksfactory_spider.py, mcit_opac_spider.py, askitab_spider.py, bookbazaar_yournotebook_spider.py, bookmamu_spider.py, myoldbooks_spider.py, antqcart_spider.py, mypustak_in_spider.py, clasify_in_spider.py, resellpanda_spider.py, booklal_spider.py, sellmybooks_spider.py, genuine5_expatriatesindia_spider.py, bookflow_spider.py, genuine5_olxindia_spider.py, bookswaphub_spider.py, bookstand_spider.py, sumrux_spider.py, banaras_hindu_university_press_spider.py, booklane_spider.py, nearbook_spider.py, genuine5_quikr_spider.py, bookbazar_spider.py, bookchor_spider.py, genuine5_clickindia_spider.py, iit_bombay_book_exchange_spider.py, reusebooks_spider.py, genuine5_adeexindia_spider.py, clankart_in_spider.py, origin_bypass_spider.py, resellbooks_spider.py, bookspie_spider.py, genuine5_freeadsindia_spider.py, genuine5_locantoindia_spider.py, genuine5_vivastreetindia_spider.py, bookloop_spider.py, genuine5_adsglobeindia_spider.py, genuine5_postfreeonline_spider.py, book_mitra_spider.py, an_sinha_institute_social_studies_ansiss_spider.py, pustakmarket_spider.py, mypustak_spider.py, pustakstore_spider.py, bookshare_spider.py, genuine5_sulekha_spider.py. Pass129 second India pass added Pustak Market, Classic Pages and Flying Books; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, BookLane, MyOldBooks, PustakMart, Apnabook and BookLal. India now needs only named cleanup checks, not broad high revisit."
