territory,region_block,dominant_category,categories_present,site_count,row_count,main_universe,weak_fit_core,single_store_used_booksellers,single_store_bookstore_layer,single_store_used_bookstore_signal,annex_classifieds,used_book_signal_note,offline_fair_literacy_layer,confidence_mix,territory_profile,notes_compact
Eritrea,Horn of Africa,single-store bookstore layer,offline fair/literacy layer; single-store bookstore layer; weak-fit core,6,6,0,1,0,4,0,0,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,low-medium:2; medium:3; medium-high:1,"Eritrea has bookstore/digital-literacy signals including Kebhi, HdriMedia/Bana and Asmara bookstore leads; no active local used-book marketplace verified.","Revisit only for active Asmara/local social commerce, Kebhi sale/donation mechanics, and active local bookstore availability."
Estonia,Baltics/CEE,single-store used booksellers,annex / horizontal marketplace; annex / social classifieds; main universe; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers,13,13,2,0,4,0,3,1,"Pass172 hardened Estonia from three thin rows into a mature small-market book-recommerce profile. Strict/main rails: Raamatuhai / BooksShark and Raamatuvahetus / Bookswap. Raamatukoi, Vanaraamat.ee, Rahva Raamat used books, Antikvariaat.eu, Kasutatudraamat.ee and Vana ja Hea provide strong single-store/chain/antikvariaat depth. Osta.ee, Yaga.ee and Facebook groups are annex/horizontal/social rails.",1,high:7; medium:3; medium-high:3,"Small but mature Baltic book-recommerce ecosystem with two book-specific user/marketplace rails, a substantial single-operator used-book and antikvariaat layer, and large horizontal/social spillover through Osta.ee, Yaga.ee and Facebook groups.","Pass172 Estonia hardening/opening. Broad Estonia is now sufficiently covered; future work should be targeted to item-level ISBN/detail extraction across Raamatuhai, Raamatuvahetus, Raamatukoi, Vanaraamat.ee, Rahva Raamat, Antikvariaat.eu and Osta/Yaga books categories, plus monitoring Raamatuvahetus activity counters and Raamatuhai seller mechanics."
Eswatini,Southern Africa,single-store bookstore layer,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,11,11,0,2,0,5,0,3,Deepening pass found used/pre-owned/social-sale signals; no book-specific platform-level used/recommerce marketplace was promoted to strict core.,1,high:6; low-medium:1; medium:4,"Eswatini remains bookstore/social-classifieds-led, with Book Nerds, Proverbia, Websters and Macmillan directory hardening added.",Next hardening should test whether any social/group/category surfaces have open third-party book listing/search/payment/delivery mechanics beyond ordinary Facebook/classifieds flow.
Ethiopia,Horn of Africa,single-store bookstore layer,annex / classifieds; single-store bookstore layer; weak-fit core,8,8,0,1,0,4,0,3,"Used-book/recommerce signal present where noted; strict core only assigned to book-specific used/recommerce rails, not ordinary retail or general classifieds.",0,high:1; low-medium:1; medium:4; medium-high:2,"Ethiopia has general classifieds and a robust Addis bookstore-directory/platform layer via AddisBooks, but no used-book or third-party book marketplace confirmed.","Deepen AddisBooks submission/listing economics, HuluMarket/BaleSuQ book volumes, and local Amharic-language used-book social groups."
Finland,Nordics,single-store used booksellers,annex / horizontal marketplace; legacy / dormant / closed; main universe; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers,13,13,4,0,4,0,1,0,"Pass171 hardened Finland from three weak-fit raw-continuation rows into a mature Nordic strict-main territory. Strict-main rails: Antikvaari.fi, Antikvariaatti.net, Antikka.net, and Booky.fi Omakauppa. Finlandia Kirja, Kierrätyskeskus, Sumashop and Arkadia provide deep single-store/charity/antikvariaatti layers. Tori.fi and Huuto.net are large horizontal annexes. Jamera is closed/legacy and absorbed into Suomalainen Kirjakauppa; Suomalainen second-hand remains store-only chain signal.",1,high:10; medium-high:3,"Mature strict-main Nordic used-book/recommerce ecosystem anchored by several Finnish book-specific multi-merchant antikvariat/divari marketplaces plus a bookstore-integrated C2C rail, with large horizontal marketplace spillover and dense single-store/charity/antikvariat inventory.","Pass171 Finland hardening/opening. Broad Finland is now sufficiently covered; future work should be targeted to ISBN/detail extraction across Antikvaari.fi, Antikvariaatti.net, Antikka.net, Booky Omakauppa, Finlandia Kirja, Kierrätyskeskus and selected single stores, plus monitoring for major operator changes to Jamera/Suomalainen/Booky."
France,Western Europe,main universe,annex / classifieds; main universe; weak-fit core,10,10,6,3,0,0,0,1,"France has multiple strong current book-specific used/recommerce rails: Book Village, La Bourse aux Livres, Recyclivre, Ammareal, Gibert, and Momox France, plus broad marketplace/classifieds spillover. ISBN rule applied; captured ISBN/EAN values from La Bourse aux Livres, Recyclivre, and Gibert detail pages.",0,high:9; medium-high:1,"Strong strict-main territory with several book-specific used/recommerce and buyback/consignment rails, plus horizontal marketplace and classifieds spillover.","Opened as a zero-surface country in pass159. Strict-main promotions: Book Village, La Bourse aux Livres, Recyclivre, Ammareal, Gibert, and Momox France. Label Emmaüs, Rakuten France, and Chasse aux livres kept weak-fit; Leboncoin kept annex/classifieds. ISBN values captured where detail pages exposed them."
Gabon,Central Africa / West-Central Africa,annex / classifieds,annex / classifieds; main universe; single-store bookstore layer; weak-fit core,15,15,2,2,0,3,0,8,"Pass127 strengthened used/social texture through CoinAfrique new/used book category and item contact flows, TROC book-sale/exchange group, and Libreville used/good schoolbook exchange snippets. Gabon Livre supports troc and sell/add-book mechanics but its own used/resale specificity remains unresolved.",0,low:4; medium:7; medium-high:2; medium-low:2,"Gabon now has one strong but mixed-live book-specific strict candidate, a current horizontal classifieds layer with new/used book listings, and several social/bookstore/digital-shop supports. No new strict used-book marketplace was promoted in pass127.","Reopen only for Gabon Livre full restoration/active vendor inventory/used seller proof, or a fresh Gabon-native book-specific used/recommerce platform."
Georgia,Caucasus,single-store used booksellers,annex / classifieds; offline / fair / literacy layer; single-store used booksellers; weak-fit core,6,6,0,1,3,0,0,1,,1,high:1; medium:3; medium-high:2,Classifieds/social resale plus single-store or offline used-book nodes; no verified book-specific marketplace mechanics.,Pass 58-65 hardening added 5 row(s) under strict South America-style governance; no ordinary bookstore promoted to core. No strict-main promotion in this sprint.
Germany,DACH,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; used-book signal (territory note); weak-fit core,22,22,5,9,0,1,0,3,Pass138 hardened Germany: strict spine now booklooker + ZVAB + Buchfreund + AbeBooks.de + antiquariat.de/GIAQ; operator-mediated recommerce/buyback rails separated into weak-fit core; Kleinanzeigen/Quoka remain horizontal annex.,3,high:15; medium:1; medium-high:6,"Mature, marketplace-deep DACH territory with multiple book-specific strict-main dealer/C2C/antiquarian marketplaces and a large operator-buyback plus horizontal-classifieds shadow layer.","Pass138 converted Germany from thin DACH-matrix residue into source/evidence-backed spine. Strict-main retained for booklooker and ZVAB; added Buchfreund, AbeBooks.de and antiquariat.de/GIAQ; momox/medimops/rebuy/Studibuch/Bookbot/Hugendubel/Thalia are weak-fit operator or retailer buyback rails; Kleinanzeigen/Quoka are annex only."
Ghana,West Africa,annex / classifieds,annex / classifieds; single-store bookstore layer; single-store used booksellers,5,5,0,0,2,1,0,2,"single-store used booksellers: Sankofa Books: Flea Market for Used Books, Thrift Bookcave | annex / classifieds: Jiji Ghana — Books & Table Games, Facebook Marketplace Accra — Books",0,high:2; medium:3,"Weak-fit / mixed book-forward territory with classifieds, bookstore, and/or used-book signals but limited strict marketplace evidence.",Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Gibraltar,Iberia,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; single-store bookstore layer,7,7,0,0,0,2,0,2,,3,high:7,Territory anchored mainly by bookstore layer rather than marketplace depth.,"Real book infrastructure, but not marketplace-deep."
Greece,Greece-Cyprus-Turkey,single-store used booksellers,annex / horizontal marketplace; annex / social classifieds; directory / market map; main universe; single-store used booksellers,10,10,2,0,5,0,0,2,"Pass184: Greece hardened from one thin metabook row into a live book-specific strict-main territory. Confirmed strict/main anchors: metabook and Biblio.com Greece/Athens transnational dealer surface. Vendora kept annex/horizontal; Protoporia, Politeia, oldbooks.gr, Book Garden Athens and Atlantis Books kept as single-store/operator layers; XO/Facebook kept directory/social only.",0,high:5; medium:1; medium-high:4,"Small but real Greece book-recommerce territory anchored by metabook, with a Greece-facing Biblio/dealer surface and a dense single-store/antikvariaat layer; horizontal/social rails are preserved but not promoted.","Pass184 Greece hardening: updated metabook with URL/evidence/ISBN sample; added Biblio.com Greece/Athens, Vendora Greece used books, Protoporia used books, Politeia used-book product surface, oldbooks.gr, Book Garden Athens, Atlantis Books, XO.gr Athens rare/secondhand directory, and Facebook/social secondhand groups. Broad Greece search can pause; targeted ISBN/detail extraction remains useful."
Grenada,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,5,5,0,0,0,0,1,2,,2,medium:5,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",store/event ecosystem
Guadeloupe,Caribbean,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,3,3,0,0,0,0,1,1,,1,medium:3,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","high book infrastructure, weak marketplace depth"
Guatemala,Central America,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,3,3,0,0,0,0,1,1,,1,medium:3,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.",stronger shops/fairs than platforms
Guinea,West Africa,annex / classifieds,annex / classifieds; single-store bookstore layer,5,5,0,0,0,2,0,3,"annex / classifieds: CoinAfrique Guinea — DVDs, CDs & Livres, BazarAfrique Guinea — DVD, CD & Livres, Facebook Marketplace Guinea — Books",0,high:1; medium:4,Weak-fit / classifieds-led territory without a confirmed book-specific used marketplace in this compact pass.,Runtime-gap bridge reconstruction pass. Rows are web-reverified in this chat and do not recover exact missing 2026-04-24 chat-only rows.
Guinea-Bissau,West Africa / Lusophone Atlantic,annex / classifieds,annex / classifieds; offline fair/literacy layer; single-store bookstore layer,10,10,0,0,0,4,0,4,"Used/resale signal is currently general/social-classifieds only: Facebook Marketplace category evidence, Classi4U Books for Sale, and Kugli Books classifieds. No local book-dominant used marketplace confirmed.",0,low:1; medium:1; medium-high:2; medium-low:6,"Thin Lusophone market surface with general classifieds, Facebook marketplace categories, and a real Bissau bookstore/literacy layer. Keep outside strict main universe until a book-specific used-book marketplace or seller-onboarding book rail is verified.","Compact pass 1 found no strict main-universe site. Revisit should focus on Bissau student textbook resale, WhatsApp/Facebook groups, Portuguese/Crioulo query variants, and whether known bookstores accept/sell used books."
Guyana,Caribbean / Northern South America,weak-fit core,annex / classifieds; annex / social classifieds; single-store bookstore layer; single-store used / bookstore signal; weak-fit core,7,7,0,2,0,2,1,2,"Guyana has visible social/classifieds used-book texture through Facebook Marketplace and schoolbook groups, plus The Book Barn used-book/store signal and localized import ecommerce/textbook surfaces. No standalone Guyana-native book-specific used/recommerce marketplace verified. ISBN rule applied; Desertcart Guyana detail page captured ISBN-10 1542038162 and ISBN-13 9781542038164.",0,high:2; medium-high:3; medium:2,"Guyana opened as a conservative Caribbean/Northern South America surface dominated by social/classifieds book resale, single-store bookstore layers, and localized import/cross-border ecommerce. Strict-main remains empty, but item-level ISBN capture is now demonstrated on at least one localized ecommerce detail page.","Pass157 zero-surface opening added Facebook Marketplace Guyana Books, Second Hand and New School Books social surface, The Book Barn, Ubuy Guyana textbooks, Desertcart Guyana book detail, Austin’s Bookstore, and New Era Book & Gift Shop. No strict-main promotion; one Desertcart ISBN-10/ISBN-13 pair captured."
Haiti,Caribbean,offline / fair / literacy layer,annex / classifieds; offline / fair / literacy layer; weak-fit core,6,6,0,2,0,0,0,1,,3,high:2; medium:4,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Explicit weak-fit core in checkpoint matrix. || bookstore + online retail + fair/public-reading system
Honduras,Central America,annex / classifieds,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,3,3,0,0,0,0,1,1,,1,medium:3,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","stalls/fairs, weak platforms"
Hong Kong,East Asia,single-store used booksellers / social resale with one strict direct-contact recommerce candidate,annex / classifieds; annex / social resale; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,35,35,2,8,15,0,0,3,"Pass199 closure added EasysBook as a historical/currently-unverified book-specific app trace plus five Chinese-language single-store secondhand/old-bookshop surfaces, and re-hardened BookDaddy as the only current strict/main direct-contact used-book/textbook marketplace candidate. No additional strict promotions and no ISBN values captured.",1,high:16; medium-high:8; medium:10; medium-low:2,"Book-forward Hong Kong market with dominant bookstore infrastructure, dense secondhand/operator textbook retail, extensive Chinese-language single-store old-bookshop texture, horizontal/social resale depth, historical app traces, and one current strict direct-contact book-recommerce candidate (BookDaddy). No checkout-managed multi-seller marketplace beyond BookDaddy direct-contact model was verified.",Pass199 completed Hong Kong closure. Move to Philippines block unless new current strict marketplace evidence appears.
Hungary,CEE/Balkans,weak-fit core,weak-fit core,2,2,0,2,0,0,0,0,,0,high:2,regional sprint touched; strict-main promotions only where current used-book marketplace/recommerce mechanics were evidenced,"Pass148 checked Rukkola: current rukkola.hu redirects/renders as Publio bookstore, so historical exchange evidence remains context only and no promotion was made."
Iceland,Nordics / North Atlantic,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,11,11,0,1,2,0,4,3,"Current Iceland surface is dense in single-store/online used-book sellers and institutional/social exchange texture, but lacks public third-party book-specific marketplace proof.",1,mostly high current-source single-store evidence; weak-fit institutional exchange; annex classifieds/social/flea-market texture,hardened North Atlantic single-store used-book ecosystem; no strict-main public marketplace found,"Pass175 targeted cleanup: no strict-main platform found; strengthened current single-store/online used-book layer with Bókalind, Skálda, Bókakaffið plus reverified Bókin, Old Bookstore, Bóksala stúdenta, Bókabúð Gulla."
India,South Asia,main universe,annex / classifieds; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,76,76,38,6,9,0,0,13,"Pass129 second India hardening: added Pustak Market as a medium strict-candidate app; added Classic Pages and Flying Books as weak-fit/preloved/operator-mediated app-storefront rows; upgraded ResellPanda and Sumrux to high scope-caveated strict-candidates; hardened Bookaao, PustakMart, BookLal, MyOldBooks, BookLane and Apnabook without broad reopen.",10,high:35; low:1; low-medium:1; medium:12; medium-high:26; medium-low:1,"Large-country dedicated sprint with deep strict-candidate online/app used-book marketplace layer. Pass129 closes a second residual app/storefront pass: three net-new app/storefront rows, two confidence upgrades, and a narrower medium targeted cleanup posture.","Pass129: no broad India reopen needed. Keep only named app/localization/activity cleanup seams; preserve strict vs weak-fit separation for Pustak Market, Classic Pages, Flying Books, BookLal, PustakMart and ResellPanda."
Indonesia,Southeast Asia,main universe,annex / horizontal marketplace; main universe; offline / donation / literacy layer; operator consignment / used-book intake; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers; social resale / marketplace control; weak-fit core,16,16,1,1,3,2,1,4,Pass207 promoted Bukubekas.id as current Indonesia book-specific secondhand marketplace strict/main candidate; Preloved.co.id held weak-fit general secondhand marketplace; ISBN examples captured on Jualo and Aksiku/Pasar Buku.,1,high/medium-high with targeted caveats,"Indonesia now has one strict/main candidate (Bukubekas.id), a strong weak-fit general secondhand marketplace (Preloved.co.id), deep horizontal/social controls, and multiple operator used-book stores. Managed checkout/payment for Bukubekas remains unverified.",Pass207 targeted hardening: Bukubekas.id promoted; Preloved held weak-fit; Jualo/Aksiku ISBN examples captured; no additional horizontal promotions.
Iran,MENA / West Asia hardening,main universe,annex / classifieds; main universe; single-store used / bookstore signal,3,3,1,0,0,0,1,1,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,0,high:1; medium:2,Strict main-universe territory after hardening.,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.
Iraq,Levant / Mashriq,annex / social resale,annex / classifieds; annex / social resale; main universe; offline / exchange bookstore; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,22,22,3,3,1,3,2,2,"Pass116 adds KRG/Iraq-wide social-commerce bookstore rails and multiple public used-book social resale surfaces. These confirm active used-book circulation but are annex/single-store signals, not standalone strict marketplace proof.",2,high:14; medium:2; medium-high:5; medium-low:1,"Hardened targeted-revisit territory. Iraq has a credible main commerce/bookstore spine plus strong Baghdad Al-Mutanabbi cultural depth, Erbil/KRG social-commerce bookstore rails, and active social used-book resale groups. No net-new standalone strict book-specific used marketplace found in pass116.",Pass116 downgraded Iraq from broad high revisit to targeted medium-high. Keep Mutanabi Shop/Dar al-Kutub/Kitabi as inherited strict/commerce spine; OpenSooq and Facebook groups are annex; KRG bookstore rails and Baghdad single-store used/rare signals are contextual or weak-fit only.
Ireland,Western Europe,single-store used booksellers,annex / classifieds; annex / social classifieds; main universe; single-store used booksellers; weak-fit core,18,18,3,1,10,0,0,4,"Ireland bridge/final pass reconstructed the missing pass166 opening layer and added final pass167 closure rows. Strict-main rail is limited but present through Biblio.ie, World of Books Ireland, and ABA Book Search/Ireland scope; most local Irish evidence is single-store, schoolbook, trade-in, or social/classifieds texture.",0,high:13; medium-high:5,"Ireland has a moderate strict-main used-book surface via localized/global and association-mediated rails, but the native/local ecosystem is dominated by single-store used booksellers, schoolbook reuse chains, trade-in programs, and social/classifieds groups rather than independent Ireland-native book-specific marketplaces.","Pass167 is a bridge/final Ireland cleanup because the pass166 Ireland ZIP was missing from runtime. It reconstructs pass166 chat-claimed Ireland rows, adds final Ireland rows (Wob Ireland, ABA Ireland scope, Vibes & Scribes, Book Haven, The Shelf, Readers Paradise), hardens Chapters trade-in evidence, applies ISBN capture rules, and closes broad Ireland reopening except evidence-triggered future work."
Israel,Levant / Mashriq,main universe,annex / classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers,12,12,4,0,2,1,1,2,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,2,high:10; medium:2,Strict main-universe territory after hardening.,"Israel closes after pass 1 as main universe on Steimatzky + Tzomet Sfarim / Booknet + עברית / e-vrit as the strongest retail/digital spine, Pomeranz as bookstore-layer depth, The Book Gallery + Sefer ve Sefel as genuine used/antiquarian specialist depth, Findabook as large national used-books spillover, and the Jerusalem International Book Forum + Hebrew Book Week / Book Month as active literary infrastructure. | Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible."
Italy,Central Mediterranean,main universe,weak-fit core:4 | main universe:3 | annex / classifieds:3 | offline / association / dealer network:1 | single-store used booksellers:1 | single-store bookstore layer:1,13,13,3,4,1,1,0,3,Italy has a mature strict-main spine plus large operator-mediated buyback/used-book store rails and horizontal marketplaces kept separate.,1,high:7; medium-high:4; medium:2,"Mature strict-main Italy book-recommerce territory with clear separation among book-specific marketplaces, operator buyback/consignment, store layers, and horizontal classifieds.",Pass181 hardening/opening: Maremagnum URL-backed; added ComproVendoLibri and AbeBooks.it strict-main; kept Bookbot/Libraccio/LibreriaUniversitaria as operator weak-fit; kept Subito/eBay/Vinted as annex/horizontal; added ALAI and local used-book store layers.
Jamaica,Caribbean,single-store used / bookstore signal,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal,6,6,0,0,0,0,3,2,,1,medium:6,"Territory with mixed store-owned used-book or exchange signal, but not a clean marketplace case.","retail-heavy, weak marketplace depth"
Japan,East Asia,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; weak-fit core,14,14,4,7,0,0,0,1,,2,high:14,"Closed result: Japan is a clear main-universe territory with multiple dominant online book rails, a deep antiquarian and recommerce shadow layer, and strong national literacy/preservation infrastructure.","Japan is now closed. The top-tier rails are clearly multi-spine rather than singular, and the antiquarian/used-book layer is unusually deep even by advanced-market standards."
Jordan,Levant / Mashriq,weak-fit core,annex / classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; weak-fit core,8,8,1,3,0,1,0,2,Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible.,1,high:7; medium:1,Strict main-universe territory after hardening.,"Jordan closes in pass 1 on ABC Books, Readers, BookZone, and Nebras as real rails, Resheh as a bookstore-layer corroborator, OpenSooq books as horizontal spillover, and the Amman International Book Fair as the national fair/literacy layer. | Pass57 MENA/West Asia hardening updated with current used-book/recommerce evidence; strict core only where book-specific marketplace/seller mechanics were visible."
Kazakhstan,Central Asia,single-store used booksellers,annex / classifieds; main universe; offline / fair / literacy layer; single-store used booksellers; weak-fit core,18,18,1,2,10,0,0,4,Pass125 directly hardened ObmenBook and added Kaspi/OLX classifieds plus Kitapashar/Antika depth. Only ObmenBook remains a strict-main candidate; Kaspi/OLX are horizontal classifieds and stores remain single-operator used-book/antiquarian nodes.,1,high:7; medium:6; medium-high:5,"Kazakhstan is now near-saturated under strict RBM rules: one book-specific exchange/sale strict candidate, dense national classifieds, and strong Almaty/Astana used-bookstore support. No additional strict-main platform was promoted.",Reopen only for ObmenBook independent listing/account/payment proof or a fresh Kazakhstan-native book-specific used/recommerce marketplace. Otherwise targeted cleanup only.
Kenya,East Africa,single-store used bookseller,annex / classifieds; main universe; single-store bookstore layer; single-store used bookseller,12,12,1,0,0,3,0,3,Strict main-universe candidate found where a book-specific used/pre-owned buy-sell marketplace rail is explicitly visible.,0,high:10; medium:1; medium-high:1,"Kenya has one strongly verified book-specific used-books marketplace candidate in Pick A Book, plus a deep single-operator/pre-loved ecosystem including Attic, Books Point, Half Priced Books, Books First and Soma Nami; general classifieds and social resale remain annex.","Pass109 hardens Pick A Book via live Marketplace – Used Books category, active used listings, buy/sell pre-owned language and seller-connection text. Revisit only for self-service seller onboarding/dashboard and additional strict rails."
Kosovo,CEE/Balkans,no-strict-main / bookstore + classifieds texture,single-store bookstore layer; annex / classifieds; context / historical-provisional book-exchange app signal; digital library / reading app context; offline / fair / literacy layer; bookstore/cafe cultural layer; annex / horizontal ecommerce book-adjacent,10,10,0,0,0,4,0,2,"No standalone Kosovo-native book-specific third-party used/recommerce marketplace verified. MerrJep provides horizontal classifieds with used-book signals; Bookey is historical/provisional app evidence only; remaining surfaces are bookstores, digital-library, fair, cultural or book-adjacent ecommerce layers.","Prishtina Book Fair / Kosovo Publishers Association; 2025 report gives about 100 publishers, around 2,000 new titles and 6,000 recent titles.",high/medium-high/medium,"Targeted cleanup/hardened no-strict-main Balkan territory: strong bookstore/fair/classifieds texture, but no confirmed native book-specific recommerce marketplace promotion.","Pass188 Kosovo targeted cleanup. Updated Dukagjini and Educational Centre from URL-less weak-fit shorthand to confirmed bookstore layers; added MerrJep classifieds, Bookey provisional book-swap app signal, Buzuku, Artini, Soma Book Station, Librashqipe app, Prishtina Book Fair and Gjirafa50 book-adjacent ecommerce. Broad Kosovo can pause except targeted Bookey/app status check or ISBN/detail extraction."
Kuwait,Gulf / Arabian Peninsula,weak-fit core,annex / classifieds; offline / fair / literacy layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,16,16,0,5,4,0,2,4,"Pass140 hardened Kuwait: no strict marketplace promotion; the evidence-backed used/pre-loved layer is Better Books, Page Turner, Kuwait Bazar Books, Bookish Corner, Benny's Books, Bliss & Paper, plus social/classifieds spillover via OpenSooq, Facebook Marketplace and book exchange groups.",1,high:9; medium:7,"Compact Kuwait book-commerce ecology: strong bookstore/publisher rails and several operator-managed secondhand/pre-loved stores, with active horizontal/social resale. No independent Kuwait-native book-specific used-book marketplace verified in pass140.","Pass140 filled Kuwait source/evidence ledger gaps and added Benny's Books, Bliss & Paper, Kuwaitbookstore.com, Facebook Marketplace Kuwait Books, and Books exchange in Kuwait. Strict gate remains closed."
Kyrgyzstan,Central Asia,annex / classifieds,annex / classifieds; single-store bookstore layer; weak-fit core,9,9,0,3,0,1,0,5,"Pass 90 added Komoda as a book-specific local-seller marketplace app, plus Bazar.kg/Tabylga/Aksy as horizontal app texture; no new used-book strict core outside existing annex/social signals.",0,high:2; medium:4; medium-high:2; medium-low:1,"Kyrgyzstan now has stronger app-level marketplace texture: Komoda is book-specific but local-store oriented, while Lalafo/Bazar/Tabylga/Aksy are horizontal rails. Strict used-book/recommerce core remains unproven.","Next work should only reopen if Komoda or a related Bishkek rail shows used/exchange listings, or if a dedicated book-resale app appears."
Laos,Southeast Asia,single-store bookstore layer,single-store bookstore layer; weak-fit core,1,2,0,1,0,1,0,0,,0,medium:2,Weak-fit / book-forward territory without enough concentration to dominate as main universe.,Current-session controlled pass: also serves as weak-fit core. || Current-session controlled pass classified Laos as compact weak-fit.
Latvia,Baltics/CEE,main universe,annex / classifieds; annex / collectibles auction; annex / external marketplace seller; annex / horizontal marketplace; annex / social marketplace; main universe; single-store used / bookstore signal; single-store used booksellers,12,12,4,0,1,0,2,2,"Pass173 hardened Latvia from two thin rows into a strong Baltic book-recommerce territory. Strict/main rails: myBook.lv, Book.id.LV, iBook.lv and Luta.lv. GUNAS GRĀMATAS and Buki.lv provide single-store/used-book depth. SS.COM, Andele Mandele, Facebook Marketplace, VintageBooksLatvia/Etsy and Coinstore are annex/horizontal/external rails only.",0,high:7; medium:2; medium-high:3,"Strong small-market Baltic book-recommerce ecosystem with several native book-specific P2P/used-book platforms, plus single-store antiquarian/used-book depth and large horizontal/social classifieds spillover.","Pass173 Latvia hardening/opening. Broad Latvia is now sufficiently covered; future work should be targeted to item-level ISBN/detail extraction across myBook.lv, iBook.lv, Luta.lv, Book.id.LV, Buki.lv and Gunas Grāmatas, plus monitoring Luta/iBook operational continuity and Book.id.LV activity scale."
Lebanon,Levant / Mashriq,annex / classifieds,annex / classifieds; main universe; offline / fair / literacy layer; single-store bookstore layer; single-store used / bookstore signal; single-store used booksellers; weak-fit core,22,22,4,1,3,1,4,7,"Pass141 hardened Lebanon secondhand/shadow layer: OLX shows 1,147 used-book ads and multiple Beirut/Lebanon book-exchange groups/social storefronts are active, but no standalone Lebanon-native strict used-book marketplace with seller onboarding/listing/payment was verified.",2,high:7; low:1; medium:13; medium-high:1,Book-commerce spine plus strong secondhand/social/classifieds shadow layer; strict used-recommerce marketplace not verified.,"Lebanon remains a main book-commerce territory on Antoine + Maliks + ALMAKTABAH + Urban Books, but pass141 shows its used-book/reuse layer is mostly OLX/dubizzle/Facebook groups and operator/social storefronts (Halabi, Book Bazar, Barzakh, Bookbee, books_beirut, Afkar, Stories_and_tales), not a strict standalone used-book marketplace. Revisit only for platformization or seller-onboarding/listing/payment proof."
Lesotho,Southern Africa,single-store bookstore layer,annex / classifieds; offline / fair / literacy layer; offline fair/literacy layer; single-store bookstore layer; weak-fit core,18,18,0,3,0,7,0,6,Pass123 added IXcess app-era rent/buy/sell lead plus Foso/Rebuydeal/AAA classifieds and bookstore branch anchors. Still no standalone book-specific used/recommerce marketplace with live seller onboarding/listing/payment proof.,1,high:1; low:1; medium:13; medium-low:3,Lesotho remains bookstore/classifieds/literacy-led; pass123 improves app-era and branch-network evidence but keeps strict-main empty.,"Exit-ready under targeted medium revisit: reopen only for current IXcess live app proof, independent book-specific used/recommerce marketplace mechanics, or social/classifieds surfaces platformized beyond ordinary Facebook/global classifieds."
Liberia,West Africa,annex / classifieds,annex / classifieds; main universe; single-store bookstore layer; single-store used/rare bookstore signal; weak-fit core,18,18,1,1,0,6,0,9,Liberia Book Store is partially hardened as a book-specific buy/sell/mobile-money candidate with live product/cart evidence but no seller-onboarding proof; Facebook/Freead/ConnectingDeals/LIBSHOP/BNS remain general classified/horizontal rails.,0,high:1; low:2; medium:12; medium-high:1; medium-low:2,"Liberia has a partially hardened book-specific strict candidate (Liberia Book Store) plus increasingly current bookstore and horizontal marketplace texture, but no verified open third-party used-book marketplace or seller-onboarding rail.",Pass103 hardens Liberia without broad promotion: Liberia Book Store moves medium-low to medium; BNS Liberia and Horseman Books added as non-strict texture; revisit remains targeted to seller-side proof and student textbook resale.
